problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
" Is fearas cinn réaltachta breise agus réaltachta fíorúla é Apple Vision Pro a cuireadh ar an margadh le déanaí.
 Déan idirdhealú idir réaltacht bhreise (AR) agus
 réaltacht fhíorúil (VR).","Réaltacht Mhéadaithe (AR):  
Feabhsaíonn AR an fíor-thimpeallacht trí fhaisnéis dhigiteach a 
fhorleagan uirthi, cuir i gcás íomhánna, téacs nó samhlacha 3D. Is 
féidir le húsáideoirí an domhan fisiceach a fheiceáil agus 
idirghníomhú leis fós cé go bhfuil ábhar digiteach comhtháite ina n
amharc. 
Réaltacht Fhíorúil (VR):  
Cruthaíonn VR timpeallacht go hiomlán tumthach, ríomhghinte a 
scoiteann úsáideoirí ón domhan fisiceach. Bíonn úsáideoirí go 
hiomlán tumtha i réaltacht insamhalta trí fhearas cinn nó trí fheistí 
VR eile.",Technology_Q1_E.png,,,
" Níos mó agus níos mó, tá painéil deicre gairdín á monarú
 as ábhair chomhchodacha.
 Tabhair breac-chuntas ar dhá bhuntáiste a bhaineann le
 hábhair chomhchodacha a úsáid agus deicre gairdín á mhonarú","Is féidir le hábhair ilchodacha a bheith níos buanseasmhaí, tá siad níos láidre, tá níos lú 
seans go dtiocfaidh díghrádú orthu, ní bheidh gá le bailchríochnú dromchla a chur orthu, is 
féidir leo a bheith níos frithsheasmhaí in aghaidh tuairte, is féidir bailchríocha éagsúla a 
fháil, neamhsciorrach srl. ",Technology_Q2_E.png,,,
"Taispeántar scáileán tadhaill idirghníomhach UAG (UHD i mBéarla) 4K ina bhfuil braiteoir neasachta comhtháite.
(i)  Mínigh an téarma UAG (UHD i mBéarla). 
(ii)  Luaigh an fheidhm atá ag an mbraiteoir neasachta agus é comhtháite isteach sa scáileán seo.","(i) UAG: Ultra-Ardghléine. 
(ii) Feabhsaíonn comhtháthú braiteoirí gaireachta i scáileáin UAG taithí úsáideora, 
áisiúlacht, agus éifeachtúlacht fuinnimh trí ligean don taispeáint freagra cliste a 
thabhairt ar láithreacht nó easpa úsáideoirí ina chomharsanacht. ",Technology_Q3_E.png,,,
"D’fhéadfadh dís Darlington (Darlington pair i mBéarla) a bheith go tipiciúil san
 aimplitheoir giotáir a thaispeántar.
(i) Ainmnigh an príomh-chomhbhall leictreach a úsáidtear i ndís
 Darlington
(ii)  Tabhair breac-chuntas ar an gcaoi a n-oibríonn dís Darlington","(i) Trasraitheoir. 
(ii)Is éard is dís Darlington ann ná cumraíocht de dhá thrasraitheoir dhépholacha (cineál 
NPN de ghnáth) atá nasctha ar bhealach a mhéadaíonn neartú srutha foriomlán na 
díse. Úsáidtear an dís Darlington go coitianta i gciorcaid leictreonacha ina mbaintear 
neartú ard srutha amach trí neartú srutha an dá thrasraitheoir a chur le chéile. ",Technology_Q4_E.png,,,
"(i)  Úsáid an tábla dathchód friotóra chun  
luach an fhriotóra a thaispeántar a ríomh.
Bandaí friotóra: 
Donn 
Dubh 
Dearg 
Órga 
(ii) Agus lamháltas á chur san áireamh agat, luaigh na luachanna is
 airde agus na luachanna is ísle a d’fhéadfadh a bheith ar an
 bhfriotóir seo.","(i) Luach: 1000 Ω $\Omega$
(ii) An luach is airde:  1050 $\Omega$                             
An luach is ísle:   950$\Omega$",Technology_Q5_I.png,,,
"Úsáidtear nóid i léaráidí líonra amhail an ceann a thaispeántar.
(i)  Mínigh na giorrúcháin (Bhéarla):
(ii)  Mínigh conas a aimsítear rébhealach léaráide líonra","(i) EST: Am Tosaithe is Luaithe 
 LFT: Am Tosaithe is Déanaí 
(ii) Is é an rébhealach i léaráid líonra ná seicheamh na gcúraimí nó na ngníomhaíochtaí 
lena gcinntear fad foriomlán tionscadail. ",Technology_Q6_E.png,,,
"(i)  Ainmnigh an cineál giarshraithe a thaispeántar san íomhá. 
(ii)  Ríomh treoluas uilleach an ghiair tiomána A, más
 é 17 ISN an luas aschuir ag an ngiar tiomáinte.","(i) Giarshraith iolrach. 
(ii) Ríomh: 
Tiomáinte/Tiomántóir x Tiomáinte/Tiomántóir  
$\frac{75}{15} \times \frac{75}{15} = \frac{5}{1} \times \frac{5}{1} = \frac{25}{1} = 25:1$ 
Rothlaíonn Giar A 25 oiread níos tapúla. 
$25 \times 17 = 425 ISN$
Luas giair Giar A  =  425 ISN. ",Technology_Q7_I.png,,,
"Is sonraíocht choitianta í titim voltais de 20 mA le haghaidh dé-óidí astaithe solais (LEDanna). Taispeántar thíos an titim voltais le haghaidh baisc LEDanna daite.
(i) Agus na sonraí a thugtar á n-úsáid agat, ríomh luach an fhriotóra cosanta is gá  
le haghaidh LED glas amháin i dtionscadal soilsithe 12 V.
(ii) Déan cur síos ar an toradh dá gcuirfí dhá LED dhearga i sraithcheangal in ionad an   LED uaithne don tionscadal céanna soilsithe.","(i)  $R = \frac{V_s - V_{led}}{I} = \frac{12 - 3}{0.02} = 450 \Omega$
(ii) Bíonn tulvoltas níos ísle (1.8 V) ag LEDanna dearga rud a fhágann go mbeidh 
tulvoltas 3.6 V ag dhá LED dhearga. Tá sé seo i gcomparáid le 3.0 V don LED glas 
aonair. Is féidir friotóir cosanta níos lú (420 Ω) a úsáid don dá LED dhearga i sraith.",Technology_Q9_I.png,,,
"Úsáideann an lipéad bagáiste GPS a thaispeántar córais  
loingseoireachta satailíte agus nascacht sonraí cheallach chun 
bagáiste a cheartrianú.  
Is féidir an lipéad a scanadh agus cód QR ar chúl na feiste á úsáid. 
Mínigh gach ceann de na téarmaí seo. 
Córais Loingseoireachta Satailíte:
Nascacht sonraí cheallach: 
Cód QR:","Mínigh gach ceann de na téarmaí seo. 
Córais Loingseoireachta Satailíte:  
Is córais iad Córais Loingseoireachta Satailíte, ar a dtugtar loingseoireacht satailíte nó 
satnav go coitianta, a úsáideann comharthaí ó shatailítí chun suíomh, treoluas, agus faisnéis 
fíor-ama glacadóra a chinneadh áit ar bith ar Domhan. Is é GPS an sampla is coitianta. 
Nascacht sonraí cheallach:  
Tagraíonn nascacht sonraí ceallacha do chumas gléas móibíleach rochtain a fháil ar an 
idirlíon agus ar sheirbhísí sonraí eile trí úsáid a bhaint as líonraí ceallacha. Cuireann sí ar 
chumas úsáideoirí nascadh leis an idirlíon, suíomhanna gréasáin a bhrabhsáil, feidhmchláir 
ar líne a úsáid agus sonraí a tharchur/a fháil trí ghléasanna móibíleacha. 
Cód QR:  
Is barrachód déthoiseach é cód QR, nó cód Mearfhreagartha, atá comhdhéanta de 
chearnóga dubha atá eagraithe ar eangach chearnógach bhán. Tá cóid QR deartha chun 
faisnéis a stóráil agus a aisghabháil go tapa, rud a fhágann gur uirlis ilúsáide iad a úsáidtear i 
bhfeidhmeanna éagsúla.as ",Technology_Q10_E.png,,,
"(i)  Ríomh an bhuntáistíocht mheicniúil atá ag forc-ardaitheoir má ardaíonn sé 
mais de 1800 kg le fórsa iarrachta de 200 N.  Glac le $g = 9.81 m/s^2$.
(ii)  Mínigh an bhuntáiste atá ag meáchanlár íseal ar oibríocht an fhorc-ardaitheora.","(i) Ríomh:  
Buntáistíocht mheicniúil =  Ualach /Iarracht    
$\frac{1800 \times 9.81}{200} &= \frac{17658}{200} \\
        &= 88.29$
(ii) Tagraíonn an meáchanlár don phointe a meastar meáchan iomlán an fhorcardaitheora 
a bheith dírithe air. Méadaíonn an meáchanlár íseal cobhsaíocht, laghdaíonn sé an 
baol iompaithe, feabhsaíonn sé láimhseáil, déanann sé an forcardaitheoir níos éasca a 
bhogadh, rud a dhéanann an meaisín níos sábháilte.",Technology_Q11_E.png,,,
